,customer_number,Cluster,cluster_name
0,14,1,Budget Buyers
1,45,1,Budget Buyers
2,52,0,Premium Buyers
3,61,1,Budget Buyers
4,63,0,Premium Buyers
5,67,2,Regular Buyers
6,68,4,Occassional Buyers
7,71,2,Regular Buyers
8,77,1,Budget Buyers
9,81,1,Budget Buyers
10,83,1,Budget Buyers
11,85,0,Premium Buyers
12,108,0,Premium Buyers
13,110,4,Occassional Buyers
14,111,1,Budget Buyers
15,117,0,Premium Buyers
16,119,3,Convenience-seeker Buyers
17,123,1,Budget Buyers
18,124,1,Budget Buyers
19,133,1,Budget Buyers
20,136,1,Budget Buyers
21,140,0,Premium Buyers
22,144,4,Occassional Buyers
23,149,4,Occassional Buyers
24,153,1,Budget Buyers
25,156,3,Convenience-seeker Buyers
26,157,2,Regular Buyers
27,166,4,Occassional Buyers
28,170,3,Convenience-seeker Buyers
29,176,0,Premium Buyers
30,182,0,Premium Buyers
31,186,3,Convenience-seeker Buyers
32,187,1,Budget Buyers
33,191,1,Budget Buyers
34,198,1,Budget Buyers
35,201,3,Convenience-seeker Buyers
36,202,0,Premium Buyers
37,206,3,Convenience-seeker Buyers
38,212,0,Premium Buyers
39,215,1,Budget Buyers
40,218,3,Convenience-seeker Buyers
41,221,1,Budget Buyers
42,230,4,Occassional Buyers
43,231,3,Convenience-seeker Buyers
44,232,2,Regular Buyers
45,236,3,Convenience-seeker Buyers
46,244,2,Regular Buyers
47,247,1,Budget Buyers
48,256,1,Budget Buyers
49,257,1,Budget Buyers
50,258,0,Premium Buyers
51,263,3,Convenience-seeker Buyers
52,269,1,Budget Buyers
53,275,4,Occassional Buyers
54,276,1,Budget Buyers
55,277,2,Regular Buyers
56,280,0,Premium Buyers
57,281,2,Regular Buyers
58,283,3,Convenience-seeker Buyers
59,305,4,Occassional Buyers
60,308,0,Premium Buyers
61,309,0,Premium Buyers
62,312,3,Convenience-seeker Buyers
63,320,1,Budget Buyers
64,324,4,Occassional Buyers
65,328,1,Budget Buyers
66,341,3,Convenience-seeker Buyers
67,342,1,Budget Buyers
68,349,1,Budget Buyers
69,350,1,Budget Buyers
70,352,1,Budget Buyers
71,356,0,Premium Buyers
72,357,2,Regular Buyers
73,359,1,Budget Buyers
74,362,1,Budget Buyers
75,367,2,Regular Buyers
76,368,1,Budget Buyers
77,372,1,Budget Buyers
78,385,1,Budget Buyers
79,386,3,Convenience-seeker Buyers
80,395,0,Premium Buyers
81,398,0,Premium Buyers
82,401,0,Premium Buyers
83,404,2,Regular Buyers
84,409,0,Premium Buyers
85,412,0,Premium Buyers
86,419,1,Budget Buyers
87,426,1,Budget Buyers
88,427,1,Budget Buyers
89,433,3,Convenience-seeker Buyers
90,434,4,Occassional Buyers
91,445,2,Regular Buyers
92,447,4,Occassional Buyers
93,459,1,Budget Buyers
94,474,1,Budget Buyers
95,475,1,Budget Buyers
96,496,1,Budget Buyers
97,498,3,Convenience-seeker Buyers
98,507,0,Premium Buyers
99,510,1,Budget Buyers
100,515,4,Occassional Buyers
101,521,0,Premium Buyers
102,523,1,Budget Buyers
103,535,1,Budget Buyers
104,538,1,Budget Buyers
105,540,1,Budget Buyers
106,541,4,Occassional Buyers
107,542,1,Budget Buyers
108,550,0,Premium Buyers
109,559,1,Budget Buyers
110,562,1,Budget Buyers
111,571,1,Budget Buyers
112,572,0,Premium Buyers
113,579,1,Budget Buyers
114,584,3,Convenience-seeker Buyers
115,588,1,Budget Buyers
116,589,2,Regular Buyers
117,594,2,Regular Buyers
118,611,0,Premium Buyers
119,616,3,Convenience-seeker Buyers
120,618,1,Budget Buyers
121,620,0,Premium Buyers
122,635,1,Budget Buyers
123,646,4,Occassional Buyers
124,647,1,Budget Buyers
125,649,4,Occassional Buyers
126,652,1,Budget Buyers
127,655,2,Regular Buyers
128,657,3,Convenience-seeker Buyers
129,662,1,Budget Buyers
130,667,3,Convenience-seeker Buyers
131,669,0,Premium Buyers
132,674,1,Budget Buyers
133,687,0,Premium Buyers
134,697,1,Budget Buyers
135,704,2,Regular Buyers
136,711,2,Regular Buyers
137,712,4,Occassional Buyers
138,717,0,Premium Buyers
139,724,1,Budget Buyers
140,725,0,Premium Buyers
